	DCZTrt_A_1	DCZTrt_A_2	DCZTrt_A_3	DCZctrl_A_1	DCZctrl_A_2	DCZctrl_A_3	DCZctrl_A_4	DCZTrt_N_1	DCZTrt_N_2	DCZTrt_N_3	DCZctrl_N_1	DCZctrl_N_2	DCZctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000047050	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000047053	0	2.797	4.186	0	1.099	12.927	4.261	10.947	0	26.427	6.973	10.165	4.271	5	21.004	21.311	7.019	2.055	7.157
ENSMUSG00000047061	0	0	0	0	0	0	3	0	0	0	0	0	0	2.255	0	0	0	0	0
ENSMUSG00000047067	13	7	23	29	21	19	8	36	8	21	25	21	28	14	12	17	14	8	8
ENSMUSG00000047079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047084	25	14	12	13	42	11	4	38	11	13	23	27	39	25	3	7	12	39	40
ENSMUSG00000047085	156	130	113	187	199	136	35	105	22	63	60	96	40	201	70	108	61	20	37
ENSMUSG00000047090	49	3	19.65	41.575	66.63	7	3	3.435	1	3.494	7.271	10.862	2.629	51.831	0	3	1	1	6
ENSMUSG00000047094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047098	220.001	202	245.597	203	164	187	86	235	177	253	232	249	216	141.597	170	245.43	101	107	180.999
ENSMUSG00000047102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000047104	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	0	1	1	0
ENSMUSG00000047108	10	7	6	17	30	3	3	7	4	15	4	9	33	9	12	17	6	16	7
ENSMUSG00000047109	26	0	1	4	12	0	0	0	1	3	0	0	2	10	0	1	0	0	1
ENSMUSG00000047115	0	1	1	2	9.001	0	0	1	3	4	5	7	4	8	0	5	2	3	0
ENSMUSG00000047117	2.68	0	0	9.39	4.659	2.567	0	1.763	0	2	0	2.024	2	8.081	9.32	0	1.428	12.229	4.667
ENSMUSG00000047123	128	9	28	65	77	14	3	12	14	16	6	15	54	93	20	11	5	61	9
ENSMUSG00000047126	969.089	535.001	1301.814	1868	1875.573	766.999	383	1903.901	397.002	994.628	1598	1433.328	1889.953	1348.023	570.329	1072	976	1428	1418.357
ENSMUSG00000047129	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047139	19	0	6	3	7	8	0	9	2	13	3	2	98	34	1	0	2	68	3
ENSMUSG00000047141	223	126	451	315	317	282	76	532.943	137	329	483	379	847.397	260	174	290.074	225	702.602	542
ENSMUSG00000047143	1	6	1	12	4	3	2	3	4	2	2	3	11	9	1	4	3	10	9
ENSMUSG00000047146	436	235.957	308.021	616	858.354	279.831	72	316.931	148	260.001	274	266.999	241	749.3	156	234.955	119	199	210.915
ENSMUSG00000047149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047150	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047153	114.173	16.595	47.822	138.56	98	55	20	97.788	34	58.673	67.846	55.307	52.059	123	27	70.367	32.186	41	45
ENSMUSG00000047155	5	11.323	55.471	33.792	26	70.991	4	95.903	30	45.999	99.25	115.971	52.168	3	98.296	92	38.998	40.878	80
ENSMUSG00000047161	38	1	4	23	44	2	3	1	1	3	1	0	1	77	6	3	2	1	0
ENSMUSG00000047168	7	0	11	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000047171	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0
ENSMUSG00000047180	45	1	7	38	40	1	8	1	1	1	3	1	1	9	0	11	0	0	2
ENSMUSG00000047181	21	1	12	26	19	10	3	16	0	1	4	2	7	26	35	2	5	0	0
ENSMUSG00000047182	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000047187	354	143	240	363	498	100	29	455	38	183	245	281	155	403	59	99	178	147	147
ENSMUSG00000047193	465.033	864.622	1292.001	905.548	918.681	936.002	349.999	1750.279	587.999	1172.999	1337.999	1289.076	1401.999	664.002	557	1179.002	858.001	1176.787	1089.571
ENSMUSG00000047197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047205	58	102	126	44	96	104	27	117	106	105	131	111	235	83	58	111	86.002	292	112
ENSMUSG00000047207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047213	503.725	325	570.001	513	689.001	490.178	170.001	802.966	226	471	551.003	549	799.6	500	244	581.699	324	651.001	663
ENSMUSG00000047215	194.001	161.001	174.905	219.001	279.401	114.618	30	324.248	89.999	198.001	248.999	204.684	231.738	221.999	71.973	158.999	113	178.994	146.951
ENSMUSG00000047216	400	5	58	493	520.001	20	8	2	0	20	0	1	2	385	16	41	1	4	9
ENSMUSG00000047220	0	0	0	0	7	1	0	11	0	3	1	1	6	1	0	3	3	1	1
ENSMUSG00000047221	26	20.999	65	27	43	79.001	22	81	23	43	73	65	19	37	24	50	46	5	30
ENSMUSG00000047222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047225	0	0	1	0	1	0	0	2	0	0	3	2	0	0	0	0	1	0	0
ENSMUSG00000047227	11	7	16	19	20	10	6	29	4	22	19	22	13	12.999	13	18	5	15	6
ENSMUSG00000047228	0	0	2	0	3	2	0	7	0	0	2	1	1	2	0	1	1	0	0
ENSMUSG00000047230	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000047237	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047238	53	17	16	87	86	16	3	47	5	24	34	37	23	108	7	40	27	25	19
ENSMUSG00000047242	143	36	66	121	142	51	16	126	31	79	79	74	109	167	76	47	50	85	76.007
ENSMUSG00000047246	52.057	42	62.687	103.206	83.515	57.651	14.379	83.081	36.617	52.38	39.81	66.475	115.981	100.154	33.562	43.238	27.854	85.418	33
ENSMUSG00000047248	142	152.605	206.327	320.001	231.001	232.999	69	358	110.633	225.825	236.707	238	222.999	180	128.272	208.248	157	201.002	178.408
ENSMUSG00000047250	145	117	146.263	326	210.001	70.644	26	48	27	52	40.959	45	82	129	43	73	31.812	51	33.422
ENSMUSG00000047253	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
ENSMUSG00000047257	0	0	0	3	1	2	0	0	0	1	0	0	0	2	0	0	1	0	0
ENSMUSG00000047259	2	15	6	0	4	0	1	0	0	2	3	1	0	0	0	0	3	0	0
ENSMUSG00000047260	7	10	17	8	23	7	1	21	8	15	13	23	19	22	0	5	7	18	16
ENSMUSG00000047261	13	29	70	38	47	62	23	87	39.633	27	41	70	26	53	44	75	58	20	25
ENSMUSG00000047264	40	10	20	34	71	14	7	24	14	15	15	35	18	55	42	7	7	21	17
ENSMUSG00000047281	4	0	2	3	1	0	1	0	1	3	1	1	1	0	2	1	1	0	2
ENSMUSG00000047284	58	112	121.999	153.001	135.255	95	29.999	150	48.001	86	98	110	94.001	124	62	79.01	63.001	64	79
ENSMUSG00000047286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
ENSMUSG00000047293	4	0	0	1	1	0	0	0	0	0	0	0	2	3	0	0	0	2	0
ENSMUSG00000047295	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	0	2	3	2
ENSMUSG00000047298	0	0	0	5	2	0	1	2	5	1	11	2	62	0	1	1	4	73	22
ENSMUSG00000047307	34	21	57	101	62	64	26	99	26	84	132.407	92	61	69	74	80	58	32	57
ENSMUSG00000047324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047330	0	0	4	2	17	1	0	1	0	0	1	1	4	19	0	2	1	6	1
ENSMUSG00000047342	11.001	14	53.001	65.999	50.041	47.001	42	87	20	76	84	100	29	34	61	73	45	12	38.999
ENSMUSG00000047343	11	59	64	35	40	44.22	14	42	30	44	47	25	74	19	24	43	17	71	64
ENSMUSG00000047344	15	2	18	30	33	5	1	26	12	21	28	16	9	15	1	15	9	14	26
ENSMUSG00000047347	0	0	0	0	0	0	0	1.238	0	0	1.162	0	1.175	0	1.326	0	0	0	2.897
ENSMUSG00000047352	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000047356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047361	150	12	20	161	141	19	9	2	9	9	7	7	62	171.999	12	21	6	87	44
ENSMUSG00000047363	1	0	3	4	1	2	1	9	7	4	11	13	2	2	5	16	1	3	3
ENSMUSG00000047368	114	55	73	219	239	37	16	108	25	54	80	69	49	238	47	62	47	42	76
ENSMUSG00000047369	37.055	22.627	74.889	70.708	91.85	90.413	12.529	75.027	17.574	29.992	102.601	76.468	35.914	31.114	21	65.538	39.185	23.129	51.218
ENSMUSG00000047370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047371	43	19	14	60	31	12	4	18.088	8	20	12	25	24	38	9	16	5	14	8
ENSMUSG00000047379	17.389	34.067	84.047	0	95.947	13.822	18.597	105.946	21.085	40.683	71.233	47.299	46.042	44.308	0	42.094	38.91	38	0
ENSMUSG00000047383	0	3	4	1	0	2.568	2	1	0	1	1.884	0	0	0	0.861	3.596	0	2.338	3.926
ENSMUSG00000047384	0	0	0	0	0	1	0	2	0	0	1	1	2	0	0	0	1	0	0
ENSMUSG00000047388	99	141	206	277	311	102	50	282	89	139	198	249.302	337	188	81	175	145	291.073	183.054
ENSMUSG00000047390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047394	0	0	3	0	0	1	0	0	0	2	1	1	1	0	0	0	2	0	1
ENSMUSG00000047407	42	4	9	29.05	32.999	5	4	1	7	8	4	6	9.999	22	1	5	0	6	1
ENSMUSG00000047409	132	172	290	335	317	297	100	371.596	59	216.001	335	281	151	225.27	194	356	158	115	131.001
ENSMUSG00000047412	289	336	378	306.251	447.789	248	100	537	140	283	371	318.127	397	340.236	157	297	202	399	294
ENSMUSG00000047414	232.207	560	652.233	414	464	442	162	1265	422	633	944	855.046	1107	264	392	628	533	1142.579	1059
ENSMUSG00000047415	35	153	93	42.721	59	42	33	91	88	78	82	88.155	85	9.19	29	70	56	31.632	46.59
ENSMUSG00000047417	86	111	116	148.999	196.15	100	28	109	133	102.001	98.999	122	400	77	65.999	91.999	55	328.002	179
ENSMUSG00000047419	54.745	118.522	203.687	148.11	172	116.244	99.023	258.613	210.175	174.679	182.686	205.598	833.285	138.337	106.173	196.982	127.045	999.936	499.838
ENSMUSG00000047420	5	0	2	2	6	2	0	1	4	0	1	0	2	4	0	0	0	0	3
ENSMUSG00000047423	26	16	12	46	52	13	1	32	17	19	11	30	17	45	12	23	9	18	9
ENSMUSG00000047428	2	130	53	5	8	43	15	49	18	29	32	40	11	4	3	26	20	5	13
ENSMUSG00000047434	14	8	35	81	71	11	3	48	7	30	33	42	13	23	12	21	31	10	31
ENSMUSG00000047441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047443	9	0	3.151	6.058	33	4.06	0	15.336	2.05	14	18.34	14	12.075	9	2	8	6.494	27.321	10
ENSMUSG00000047444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047446	106.001	97	146.999	138	143	104	49	231.501	44	108	203.001	161	78	163	96	81	79.999	50	68.001
ENSMUSG00000047454	330.291	220	341.001	520.297	437.845	308	96	413	112	242.104	313.81	298	193.997	422.534	243	360	175	163	179.999
ENSMUSG00000047459	48	63	39	74	62	27	9	48	17.621	24	35	27	29	48	3	15	19	11	19
ENSMUSG00000047462	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
ENSMUSG00000047466	176	242	369.001	297	269	318	109	630.325	189	392	466.022	454	468	185	192	438	251	425.404	427
ENSMUSG00000047473	107.001	119	100.004	104.042	99	61	36	125	36	89	134	96	74	65	70	121.247	49	63	79
ENSMUSG00000047485	17	52	68	40	26	73	32	40	42	26	46	50	29	19	39	49.076	29	38	31
ENSMUSG00000047492	1	4	6	14	4	0	0	14	2	5	3	5	20	1	0	6	2	14	12
ENSMUSG00000047495	101	920.001	940.999	724.381	414.001	962.002	383.001	987.938	426.008	724.515	834.94	892.666	969.999	129	780	928.896	608.726	885	775.001
ENSMUSG00000047496	11	69	76	51	85	60	22	138	18	54	91	83	36	71	45	62	57	18	31
ENSMUSG00000047497	15	11	7	8	26	3	4	1	0	8	0	6	4	14	1	2	0	0	0
ENSMUSG00000047501	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000047502	16	10.001	13	36	28	9	0	5	0	13	6	13	3	36	13	4	9	0	7
ENSMUSG00000047507	4	1	10.014	6.343	13.011	1.025	1	2.023	5	6.042	3.02	4	22	5	5	0	1.051	29.163	1.009
ENSMUSG00000047508	0	0	2	1	6	1	0	2	0	0	2	0	7	0	0	5	0	14	2
ENSMUSG00000047509	0	0	1.077	1.035	1.081	0	0	0	1.066	0	1.06	3.185	1.084	0	0	1.093	0	0	0
ENSMUSG00000047511	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047514	148	87	187	227	277	89	28	412	99	159	187	164	706.745	206	44	123.239	116.685	532	230
ENSMUSG00000047515	45.955	2.472	49.623	47.518	99.923	32	4	18	13	28	27	12.072	90.801	60.652	7	17	14	61	50
ENSMUSG00000047517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047518	2	2	3	4	8	4	0	3	1	1	1	5	6	1	8	3	1	2	4
ENSMUSG00000047528	1	0	4	0	0	0	0	2	0	0	0	0	0	1	0	2	0	1	1
ENSMUSG00000047531	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000047534	32	12	19	17	44	14	20	41	14	14	20	33	39	41	13	15	11	32	29
ENSMUSG00000047535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047539	137	121	209	174.599	243.248	136	76	280	106	170	221.12	242.001	327	201	112	161	130	261.002	207
ENSMUSG00000047544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047547	104	438.129	313	225.001	232	291	155	281.001	235	316.482	235.001	294.077	350	90	220.999	281.773	148	285	336
ENSMUSG00000047554	144.72	145	179.001	284	270	169.001	40.001	262.001	100	155	221	166.854	182.001	184	115	138	98	91.001	139
ENSMUSG00000047557	67.001	1	17	45	38	9	2	32	2	19	22	13.001	12	54	7	18	8	5	10
ENSMUSG00000047562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000047564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047565	0	96.496	100.484	21	23.725	103.112	52.037	159.946	41.557	70.596	125.709	112.451	109.367	0	108.278	169.625	56.855	90.286	148.907
ENSMUSG00000047583	37	64	33	48	21.551	18	23	49.149	14	23	34	40	23	31	16.988	44	23	18	19
ENSMUSG00000047586	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047591	5	2	6	0	1	0	0	7	0	0	0	1	2	3	3	0	2	11	0
ENSMUSG00000047592	2	0	0	0	0	1	0	2	0	0	2	0	0	0	0	4	0	0	0
ENSMUSG00000047594	2	3	8	9	12	3	3	6	6	9	5	6	22	2	4	5	7	38	21
ENSMUSG00000047603	114.999	183	91	81.999	85	69	40	112	28	86	123	96	72.999	97	80	101	61.999	40	69
ENSMUSG00000047604	13	0	7	4	3	17	0	12	9	4	14	6	13	2	10	3	3	13	6
ENSMUSG00000047606	11	38	80	35	99	80	20	164	108	95	150	118	77	21	19	54	34	46	74
ENSMUSG00000047613	7	0	6	11	10	7	0	19	1	3	7	2	12	5	0	4	6	6	6
ENSMUSG00000047617	5	38	23	30	44.001	3	6	24	7	6	16.001	25	11	27	7	15	12	1	3
ENSMUSG00000047619	40	0	2	34	14	0	0	0	0	0	0	0	0	23	0	6	0	0	0
ENSMUSG00000047626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047631	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ENSMUSG00000047632	22	4	3	7	16	3	3	10	17	12	3	6	79	14	1	7	4	47	24
ENSMUSG00000047635	36	29	38	24	49	35	8	24	13	25	16	41	27	36	33	23	9	15	14
ENSMUSG00000047636	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
ENSMUSG00000047638	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047641	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000047642	3	2	1	8	1	1	3	0	0	1	3	1	1	9	0	3	0	0	0
ENSMUSG00000047643	0	0	0	0	1.38	0	0	0	0	0	0	4.032	3.345	0	2.566	5.854	0	0	1.472
ENSMUSG00000047648	132	49	87	163	158	71	19	58	24	40	66	49	44	129	31	47	33	27	56
ENSMUSG00000047649	18	8	36.238	31	38	27	16	34	27	20	15	20	57.198	28	26	16	16	55	30
ENSMUSG00000047652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047654	1	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	3.138	0
ENSMUSG00000047655	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000047656	20	1	15	27	46	3	7	27	2	6	13	10	2	20	4	16	3	2	11
ENSMUSG00000047657	0	1.037	0	0	0	0	0	0	0	0	0	0	1.058	0	0	0	0	0	0
ENSMUSG00000047658	28	82	84.786	69.946	62	62.399	35.927	65.325	51	41.881	38	58.316	53.153	46.939	43.763	69.988	29	24.075	43.76
ENSMUSG00000047661	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000047667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047669	18	7	17	18	17	8	1	11	3	12	14	14	12	22	11	17	15	4	2
ENSMUSG00000047671	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000047674	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000047675	34.313	27.937	41.61	48.579	54.021	24.909	4.701	58.696	3.607	36.515	55.885	43.386	38.422	23	4.138	16.205	21.334	11.315	10.396
ENSMUSG00000047676	0	0	0	0	0	1.253	0	0	0	1.297	0	0	0	0	1.202	0	0	0	0
ENSMUSG00000047678	50	18	66	71	84	34	22	57	25	53	51	52	32	72	29	63	37	24	42
ENSMUSG00000047686	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000047692	0	0	1	4.333	7.402	4	5	2	0	4	1	1	14.511	5.19	1	9	4	23	7.585
ENSMUSG00000047694	264	156.003	267	319	327.876	261	67	343	121	243	346	312	402	274	139	271	156	316	297
ENSMUSG00000047696	1	0	5	5.789	0	2	3.049	4	3	4	1	0	0	1	3	3	1	0	0
ENSMUSG00000047702	20.261	8.583	15.094	18.626	13.706	4.638	2.232	16.974	5.94	11.319	9.286	7.681	26.219	18.154	1.153	11.95	8.02	42.3	6.694
ENSMUSG00000047710	39	31	67	102	76	50	34	85	34	68	48	67	46	83.663	72	61	46	42	53.021
ENSMUSG00000047712	50	7	22	52	43	6	7	20	7	11	18	11	15	137.333	13	21	12	9	6
ENSMUSG00000047714	149.636	71.888	159.166	233.463	239.893	99.953	41.223	410.12	49.153	120.289	222.997	200.093	176.888	260.032	99.491	129.237	150.363	205.537	149.056
ENSMUSG00000047716	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000047719	18	25	40	34.564	28	15	6	35	12	19	29	20	16	14	16	23	11	24	20
ENSMUSG00000047720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047721	10	14	53.001	44	44	69	23	49.068	36	34	38.093	32	69	20	27	34.209	27	86	32
ENSMUSG00000047728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047730	0	0	0	1	1.756	3	0	0	2.509	0	0	0	1.078	1	0	0	0	0	0
ENSMUSG00000047731	178	84	106	244	250	59	42	108.999	31	74	90	117	67	239.001	77	137	60	28	87
ENSMUSG00000047733	0	0	2	3	0	5	1	2	0	1	2	2	3	3	0	4	0	5	1
ENSMUSG00000047735	449	11	55	76.001	58	52	38	67	108	234	23	6	1987.947	111.654	61	47	22	2076.676	1302
ENSMUSG00000047746	0	0	0	5	1	7	0	0	2	1	2	2	3	0	1	2	1	3	4
ENSMUSG00000047747	240.736	652.601	1141.949	527.912	425.973	1027.079	394.667	1276.158	404.782	758.309	1067.442	949.802	935.201	335.247	587.974	1054.417	594.996	871.72	1119.311
ENSMUSG00000047749	46	3	39	31	85	32	20	42	3	39	33	32	33	55	8	55	14	31	12
ENSMUSG00000047751	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047757	8	0	12	5	15	6	1	15	1	7	15	6	21	10	7	7	13	15	15
ENSMUSG00000047759	23	1	1.604	2	5	0	0	8	0	0	0	1	0	2	4	2	5	1	0
ENSMUSG00000047766	111.999	239.001	427.889	376	198	287	109.999	590	248.999	395	419	413.054	301.001	229.001	200	356.691	237.001	232	357
ENSMUSG00000047767	243	138	211.001	197	256.999	160	76	228	126.001	170	235	183	163	212.999	126	192.001	110.999	83.001	126
ENSMUSG00000047773	8	23	32	23	50	33	8	30	10	21	43	64	20	67	32	41	30	3	10
ENSMUSG00000047777	9	7	26	29	28	13	8	13	7	10	17	34	43	32	6	8	7	21	28
ENSMUSG00000047786	74	27	46	143	65	33	7.944	31	1	23	20	21	24	70.349	17	35	21	9	8
ENSMUSG00000047787	185	238.173	260	284	263.079	235	97	204	139.047	168	230	186	177	363.521	141	214	122	101	138
ENSMUSG00000047789	220.935	327	473.724	495	599.663	403.94	163	545.088	220	393.726	546.859	443.073	416	404.964	222	467.66	218.913	324.221	354.003
ENSMUSG00000047793	827.806	160.256	216.436	1270.777	1522.943	163.869	80.129	39.369	76.397	118.023	52.489	42.911	122.552	1539.768	107.657	212.534	27.772	115.359	71.808
ENSMUSG00000047794	0	0	0	0	0	0	0	2	0	0	3	5	1	0	0	0	1	0	1
ENSMUSG00000047797	18	0	6	37	51	4	0	0	1	1	0	0	0	36	0	1	0	0	1
ENSMUSG00000047798	29	44	13	25.999	5	2	2	11	10	17	7	4	3	6	5	9	6	7	9
ENSMUSG00000047799	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1
ENSMUSG00000047804	189.071	227.001	199	291	271	175.043	80.001	251	46	159	184.001	200.001	180	236	117	201	144	141	188.999
ENSMUSG00000047807	19	32	22	32	50	10	10	5	0	13	5	3	23	52	26	22	10	34	7
ENSMUSG00000047810	18	11	6	30	16	6	11	0	1	5	1	1	1	12	6	1	0	2	3
ENSMUSG00000047819	2	0	5	0	1	0	0	2	0	0	1	0	0	1	0	3	1	2	1
ENSMUSG00000047821	12	0	3	3	4	2	4	0	0	4	1.105	2	1	5	2	7	1	0	0
ENSMUSG00000047822	1	2	0	1	1	1	2	0	0	0	0	0	0	9	0	0	2	0	0
ENSMUSG00000047824	16	19	29	42	47	7	2	28	20	25.021	25	28	21	22	6	15	11	20	8
ENSMUSG00000047828	0	1	3	7	3	2	5	13	8	6	3	3	3	4	1	1	0	18	8
ENSMUSG00000047832	33	47	33	32	31	38	9	47	41	36	33	31.128	162	16	32	40	13	148.584	51
ENSMUSG00000047841	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0
ENSMUSG00000047842	135	324	441.001	496.847	612	264	104	940	104	319	613.732	507	191	358	209	407.758	331	152	207
ENSMUSG00000047843	38	16.339	39.747	37.574	51	33	4	60	10	35	41.647	46	30	29	14.526	57	35.887	23.593	18
ENSMUSG00000047844	2.318	1	4.298	3.22	1.079	4	0	6.383	2.39	1	2.146	1.198	0	2	0	0	5.29	0	0
ENSMUSG00000047854	20	40	47	36	41	60	8	52	30	49	50	45	52	24	33	60	33	48	56
ENSMUSG00000047861	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000047866	312.168	232	345.001	493	515.999	257	134	421	276	364	337.001	366	1250	284.661	189	281	175	1115.268	659.845
ENSMUSG00000047867	75	0	6	18	8	0	1	4	0	1	0	5	2	8	0	0	0	0	0
ENSMUSG00000047868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047875	24	4	16	22	25	10	6	11	6	5	5.067	11	7	12	2	7	10	8	10
ENSMUSG00000047878	0	1	1	4	8	4	0	0	0	0	1	1	0	5	1	5	0	1	0
ENSMUSG00000047879	141.563	169.495	381.233	319.1	451.901	244.576	109.434	575.428	161.691	323.56	512.168	504.4	434.749	289.106	190.392	352.433	228.863	269.211	322.045
ENSMUSG00000047880	0	0	0	0	1.891	0	0	0	1	0	0	0	3	3	0	2	0	0	5
ENSMUSG00000047881	61	16	54	74	46	31	14	90	20	52	57	49	20	119.61	29	33	24	3	10
ENSMUSG00000047884	0	0	0	0	0	0	1	0	0	0	0	0	0	3.703	0	1	0	0	0
ENSMUSG00000047888	1717.629	2044.298	2451.725	2566.794	2580.146	1992.117	895	2588	1247	1942.658	2389.711	2301.001	1981.932	1993.555	1470.397	2345.301	1217.003	1815.353	2102.393
ENSMUSG00000047889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000047897	2	0	6	2	0	5.504	0	6	1	3	3	3	2	4	1	2	2.388	0	0
ENSMUSG00000047898	0	0	0	4	10	0	0	0	0	0	1	0	1	4	0	1	0	6	0
ENSMUSG00000047904	3	22	22	4	5	17	10	45	4	16.153	20	14	3	6	14	27.442	18	10	12
ENSMUSG00000047905	0	0	0	2	2.009	1	0	0	1	3	1.013	3	2	0	0	0	3.054	4	0
ENSMUSG00000047907	47.001	95	175	132	73	94.999	15	54	5	73.434	39	48	13	84	47	112	24	3	37
ENSMUSG00000047909	411.001	345	589.238	557.001	559.001	519	164	608.048	242.001	482.001	792	681.152	316	473.617	297.999	556.999	336.999	226	400
ENSMUSG00000047910	150.144	252	290	366.698	353	282	156	490	177	262	385	422	247	288	135	369	189	181	269
ENSMUSG00000047911	2	0	1	7	2	0	1	0	0	0	2	0	1	0	0	2	2	1	1
ENSMUSG00000047921	140	116.084	141.049	277.524	189.329	147.018	64	231.733	130	122.009	153.035	164.084	179.015	196.475	109	123.001	121.02	185.521	113.625
ENSMUSG00000047935	35	8	39	141	110	22	3	41	13	20	36	25	11	69	15	17	16	3	22
ENSMUSG00000047938	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0
ENSMUSG00000047940	0	4	5	2	2	1	1	2	5	8	2	0	2	4	1	4	2	1	0
