gene_name	gene_biotype
ENSG00000118418	HMGN3	protein_coding
ENSG00000118420	UBE3D	protein_coding
ENSG00000118432	CNR1	protein_coding
ENSG00000118454	ANKRD13C	protein_coding
ENSG00000118473	SGIP1	protein_coding
ENSG00000118482	PHF3	protein_coding
ENSG00000118492	ADGB	protein_coding
ENSG00000118495	PLAGL1	protein_coding
ENSG00000118496	FBXO30	protein_coding
ENSG00000118503	TNFAIP3	protein_coding
ENSG00000118507	AKAP7	protein_coding
ENSG00000118508	RAB32	protein_coding
ENSG00000118513	MYB	protein_coding
ENSG00000118514	ALDH8A1	protein_coding
ENSG00000118515	SGK1	protein_coding
ENSG00000118518	RNF146	protein_coding
ENSG00000118523	CTGF	protein_coding
ENSG00000118557	PMFBP1	protein_coding
ENSG00000118564	FBXL5	protein_coding
ENSG00000118579	MED28	protein_coding
ENSG00000118596	SLC16A7	protein_coding
ENSG00000118600	RXYLT1	protein_coding
ENSG00000118620	ZNF430	protein_coding
ENSG00000118640	VAMP8	protein_coding
ENSG00000118655	DCLRE1B	protein_coding
ENSG00000118680	MYL12B	protein_coding
ENSG00000118689	FOXO3	protein_coding
ENSG00000118690	ARMC2	protein_coding
ENSG00000118705	RPN2	protein_coding
ENSG00000118707	TGIF2	protein_coding
ENSG00000118762	PKD2	protein_coding
ENSG00000118777	ABCG2	protein_coding
ENSG00000118785	SPP1	protein_coding
ENSG00000118804	STBD1	protein_coding
ENSG00000118816	CCNI	protein_coding
ENSG00000118849	RARRES1	protein_coding
ENSG00000118855	MFSD1	protein_coding
ENSG00000118873	RAB3GAP2	protein_coding
ENSG00000118894	EEF2KMT	protein_coding
ENSG00000118900	UBN1	protein_coding
ENSG00000118922	KLF12	protein_coding
ENSG00000118939	UCHL3	protein_coding
ENSG00000118960	HS1BP3	protein_coding
ENSG00000118961	LDAH	protein_coding
ENSG00000118965	WDR35	protein_coding
ENSG00000118971	CCND2	protein_coding
ENSG00000118972	FGF23	protein_coding
ENSG00000118985	ELL2	protein_coding
ENSG00000118997	DNAH7	protein_coding
ENSG00000119004	CYP20A1	protein_coding
ENSG00000119013	NDUFB3	protein_coding
ENSG00000119041	GTF3C3	protein_coding
ENSG00000119042	SATB2	protein_coding
ENSG00000119048	UBE2B	protein_coding
ENSG00000119121	TRPM6	protein_coding
ENSG00000119125	GDA	protein_coding
ENSG00000119138	KLF9	protein_coding
ENSG00000119139	TJP2	protein_coding
ENSG00000119147	C2orf40	protein_coding
ENSG00000119185	ITGB1BP1	protein_coding
ENSG00000119203	CPSF3	protein_coding
ENSG00000119227	PIGZ	protein_coding
ENSG00000119231	SENP5	protein_coding
ENSG00000119242	CCDC92	protein_coding
ENSG00000119280	C1orf198	protein_coding
ENSG00000119285	HEATR1	protein_coding
ENSG00000119314	PTBP3	protein_coding
ENSG00000119318	RAD23B	protein_coding
ENSG00000119321	FKBP15	protein_coding
ENSG00000119326	CTNNAL1	protein_coding
ENSG00000119328	FAM206A	protein_coding
ENSG00000119333	WDR34	protein_coding
ENSG00000119335	SET	protein_coding
ENSG00000119383	PTPA	protein_coding
ENSG00000119392	GLE1	protein_coding
ENSG00000119396	RAB14	protein_coding
ENSG00000119397	CNTRL	protein_coding
ENSG00000119401	TRIM32	protein_coding
ENSG00000119402	FBXW2	protein_coding
ENSG00000119403	PHF19	protein_coding
ENSG00000119408	NEK6	protein_coding
ENSG00000119411	BSPRY	protein_coding
ENSG00000119414	PPP6C	protein_coding
ENSG00000119421	NDUFA8	protein_coding
ENSG00000119431	HDHD3	protein_coding
ENSG00000119446	RBM18	protein_coding
ENSG00000119457	SLC46A2	protein_coding
ENSG00000119471	HSDL2	protein_coding
ENSG00000119487	MAPKAP1	protein_coding
ENSG00000119508	NR4A3	protein_coding
ENSG00000119509	INVS	protein_coding
ENSG00000119514	GALNT12	protein_coding
ENSG00000119522	DENND1A	protein_coding
ENSG00000119523	ALG2	protein_coding
ENSG00000119535	CSF3R	protein_coding
ENSG00000119537	KDSR	protein_coding
ENSG00000119541	VPS4B	protein_coding
ENSG00000119559	C19orf25	protein_coding
ENSG00000119574	ZBTB45	protein_coding
ENSG00000119596	YLPM1	protein_coding
ENSG00000119599	DCAF4	protein_coding
ENSG00000119608	PROX2	protein_coding
ENSG00000119616	FCF1	protein_coding
ENSG00000119630	PGF	protein_coding
ENSG00000119632	IFI27L2	protein_coding
ENSG00000119636	BBOF1	protein_coding
ENSG00000119638	NEK9	protein_coding
ENSG00000119640	ACYP1	protein_coding
ENSG00000119650	IFT43	protein_coding
ENSG00000119655	NPC2	protein_coding
ENSG00000119661	DNAL1	protein_coding
ENSG00000119669	IRF2BPL	protein_coding
ENSG00000119673	ACOT2	protein_coding
ENSG00000119681	LTBP2	protein_coding
ENSG00000119682	AREL1	protein_coding
ENSG00000119684	MLH3	protein_coding
ENSG00000119685	TTLL5	protein_coding
ENSG00000119686	FLVCR2	protein_coding
ENSG00000119688	ABCD4	protein_coding
ENSG00000119689	DLST	protein_coding
ENSG00000119698	PPP4R4	protein_coding
ENSG00000119699	TGFB3	protein_coding
ENSG00000119703	ZC2HC1C	protein_coding
ENSG00000119705	SLIRP	protein_coding
ENSG00000119707	RBM25	protein_coding
ENSG00000119711	ALDH6A1	protein_coding
ENSG00000119714	GPR68	protein_coding
ENSG00000119718	EIF2B2	protein_coding
ENSG00000119720	NRDE2	protein_coding
ENSG00000119723	COQ6	protein_coding
ENSG00000119725	ZNF410	protein_coding
ENSG00000119729	RHOQ	protein_coding
ENSG00000119737	GPR75	protein_coding
ENSG00000119760	SUPT7L	protein_coding
ENSG00000119771	KLHL29	protein_coding
ENSG00000119772	DNMT3A	protein_coding
ENSG00000119777	TMEM214	protein_coding
ENSG00000119778	ATAD2B	protein_coding
ENSG00000119782	FKBP1B	protein_coding
ENSG00000119787	ATL2	protein_coding
ENSG00000119801	YPEL5	protein_coding
ENSG00000119812	FAM98A	protein_coding
ENSG00000119820	YIPF4	protein_coding
ENSG00000119844	AFTPH	protein_coding
ENSG00000119862	LGALSL	protein_coding
ENSG00000119865	CNRIP1	protein_coding
ENSG00000119866	BCL11A	protein_coding
ENSG00000119878	CRIPT	protein_coding
ENSG00000119888	EPCAM	protein_coding
ENSG00000119899	SLC17A5	protein_coding
ENSG00000119900	OGFRL1	protein_coding
ENSG00000119906	SLF2	protein_coding
ENSG00000119912	IDE	protein_coding
ENSG00000119915	ELOVL3	protein_coding
ENSG00000119917	IFIT3	protein_coding
ENSG00000119922	IFIT2	protein_coding
ENSG00000119927	GPAM	protein_coding
ENSG00000119929	CUTC	protein_coding
ENSG00000119943	PYROXD2	protein_coding
ENSG00000119950	MXI1	protein_coding
ENSG00000119953	SMNDC1	protein_coding
ENSG00000119965	C10orf88	protein_coding
ENSG00000119969	HELLS	protein_coding
ENSG00000119977	TCTN3	protein_coding
ENSG00000119979	FAM45A	protein_coding
ENSG00000119986	AVPI1	protein_coding
ENSG00000120008	WDR11	protein_coding
ENSG00000120029	C10orf76	protein_coding
ENSG00000120049	KCNIP2	protein_coding
ENSG00000120051	CFAP58	protein_coding
ENSG00000120053	GOT1	protein_coding
ENSG00000120063	GNA13	protein_coding
ENSG00000120071	KANSL1	protein_coding
ENSG00000120093	HOXB3	protein_coding
ENSG00000120129	DUSP1	protein_coding
ENSG00000120137	PANK3	protein_coding
ENSG00000120149	MSX2	protein_coding
ENSG00000120158	RCL1	protein_coding
ENSG00000120159	CAAP1	protein_coding
ENSG00000120162	MOB3B	protein_coding
ENSG00000120210	INSL6	protein_coding
ENSG00000120215	MLANA	protein_coding
ENSG00000120217	CD274	protein_coding
ENSG00000120253	NUP43	protein_coding
ENSG00000120254	MTHFD1L	protein_coding
ENSG00000120256	LRP11	protein_coding
ENSG00000120262	CCDC170	protein_coding
ENSG00000120265	PCMT1	protein_coding
ENSG00000120278	PLEKHG1	protein_coding
ENSG00000120280	CXorf21	protein_coding
ENSG00000120306	CYSTM1	protein_coding
ENSG00000120314	WDR55	protein_coding
ENSG00000120318	ARAP3	protein_coding
ENSG00000120327	PCDHB14	protein_coding
ENSG00000120333	MRPS14	protein_coding
ENSG00000120334	CENPL	protein_coding
ENSG00000120341	SEC16B	protein_coding
ENSG00000120370	GORAB	protein_coding
ENSG00000120437	ACAT2	protein_coding
ENSG00000120438	TCP1	protein_coding
ENSG00000120451	SNX19	protein_coding
ENSG00000120457	KCNJ5	protein_coding
ENSG00000120458	MSANTD2	protein_coding
ENSG00000120509	PDZD11	protein_coding
ENSG00000120519	SLC10A7	protein_coding
ENSG00000120526	NUDCD1	protein_coding
ENSG00000120533	ENY2	protein_coding
ENSG00000120539	MASTL	protein_coding
ENSG00000120549	KIAA1217	protein_coding
ENSG00000120594	PLXDC2	protein_coding
ENSG00000120616	EPC1	protein_coding
ENSG00000120645	IQSEC3	protein_coding
ENSG00000120647	CCDC77	protein_coding
ENSG00000120656	TAF12	protein_coding
ENSG00000120658	ENOX1	protein_coding
ENSG00000120659	TNFSF11	protein_coding
ENSG00000120662	MTRF1	protein_coding
ENSG00000120675	DNAJC15	protein_coding
ENSG00000120685	PROSER1	protein_coding
ENSG00000120686	UFM1	protein_coding
ENSG00000120688	WBP4	protein_coding
ENSG00000120690	ELF1	protein_coding
ENSG00000120693	SMAD9	protein_coding
ENSG00000120694	HSPH1	protein_coding
ENSG00000120696	KBTBD7	protein_coding
ENSG00000120697	ALG5	protein_coding
ENSG00000120699	EXOSC8	protein_coding
ENSG00000120705	ETF1	protein_coding
ENSG00000120708	TGFBI	protein_coding
ENSG00000120709	FAM53C	protein_coding
ENSG00000120725	SIL1	protein_coding
ENSG00000120727	PAIP2	protein_coding
ENSG00000120733	KDM3B	protein_coding
ENSG00000120738	EGR1	protein_coding
ENSG00000120742	SERP1	protein_coding
ENSG00000120756	PLS1	protein_coding
ENSG00000120784	ZFP30	protein_coding
ENSG00000120798	NR2C1	protein_coding
ENSG00000120800	UTP20	protein_coding
ENSG00000120802	TMPO	protein_coding
ENSG00000120805	ARL1	protein_coding
ENSG00000120832	MTERF2	protein_coding
ENSG00000120833	SOCS2	protein_coding
ENSG00000120837	NFYB	protein_coding
ENSG00000120860	WASHC3	protein_coding
ENSG00000120868	APAF1	protein_coding
ENSG00000120875	DUSP4	protein_coding
ENSG00000120885	CLU	protein_coding
ENSG00000120889	TNFRSF10B	protein_coding
ENSG00000120896	SORBS3	protein_coding
ENSG00000120899	PTK2B	protein_coding
ENSG00000120903	CHRNA2	protein_coding
ENSG00000120907	ADRA1A	protein_coding
ENSG00000120910	PPP3CC	protein_coding
ENSG00000120913	PDLIM2	protein_coding
ENSG00000120915	EPHX2	protein_coding
ENSG00000120925	RNF170	protein_coding
ENSG00000120942	UBIAD1	protein_coding
ENSG00000120948	TARDBP	protein_coding
ENSG00000120949	TNFRSF8	protein_coding
ENSG00000120963	ZNF706	protein_coding
ENSG00000120992	LYPLA1	protein_coding
ENSG00000121022	COPS5	protein_coding
ENSG00000121039	RDH10	protein_coding
ENSG00000121057	AKAP1	protein_coding
ENSG00000121058	COIL	protein_coding
ENSG00000121060	TRIM25	protein_coding
ENSG00000121064	SCPEP1	protein_coding
ENSG00000121067	SPOP	protein_coding
ENSG00000121068	TBX2	protein_coding
ENSG00000121073	SLC35B1	protein_coding
ENSG00000121089	NACA3P	processed_pseudogene
ENSG00000121101	TEX14	protein_coding
ENSG00000121104	FAM117A	protein_coding
ENSG00000121152	NCAPH	protein_coding
ENSG00000121207	LRAT	protein_coding
ENSG00000121210	TMEM131L	protein_coding
ENSG00000121211	MND1	protein_coding
ENSG00000121236	TRIM6	protein_coding
ENSG00000121274	PAPD5	protein_coding
ENSG00000121281	ADCY7	protein_coding
ENSG00000121289	CEP89	protein_coding
ENSG00000121297	TSHZ3	protein_coding
ENSG00000121310	ECHDC2	protein_coding
ENSG00000121316	PLBD1	protein_coding
ENSG00000121350	PYROXD1	protein_coding
ENSG00000121380	BCL2L14	protein_coding
ENSG00000121390	PSPC1	protein_coding
ENSG00000121406	ZNF549	protein_coding
ENSG00000121410	A1BG	protein_coding
ENSG00000121413	ZSCAN18	protein_coding
ENSG00000121417	ZNF211	protein_coding
ENSG00000121440	PDZRN3	protein_coding
ENSG00000121446	RGSL1	protein_coding
ENSG00000121454	LHX4	protein_coding
ENSG00000121481	RNF2	protein_coding
ENSG00000121486	TRMT1L	protein_coding
ENSG00000121542	SEC22A	protein_coding
ENSG00000121552	CSTA	protein_coding
ENSG00000121570	DPPA4	protein_coding
ENSG00000121577	POPDC2	protein_coding
ENSG00000121578	B4GALT4	protein_coding
ENSG00000121579	NAA50	protein_coding
ENSG00000121594	CD80	protein_coding
ENSG00000121621	KIF18A	protein_coding
ENSG00000121644	DESI2	protein_coding
ENSG00000121653	MAPK8IP1	protein_coding
ENSG00000121671	CRY2	protein_coding
ENSG00000121680	PEX16	protein_coding
ENSG00000121690	DEPDC7	protein_coding
ENSG00000121691	CAT	protein_coding
ENSG00000121716	PILRB	protein_coding
ENSG00000121741	ZMYM2	protein_coding
ENSG00000121742	GJB6	protein_coding
ENSG00000121743	GJA3	protein_coding
ENSG00000121749	TBC1D15	protein_coding
ENSG00000121753	ADGRB2	protein_coding
ENSG00000121766	ZCCHC17	protein_coding
ENSG00000121769	FABP3	protein_coding
ENSG00000121774	KHDRBS1	protein_coding
ENSG00000121775	TMEM39B	protein_coding
ENSG00000121797	CCRL2	protein_coding
ENSG00000121807	CCR2	protein_coding
ENSG00000121851	POLR3GL	protein_coding
ENSG00000121858	TNFSF10	protein_coding
ENSG00000121864	ZNF639	protein_coding
ENSG00000121879	PIK3CA	protein_coding
ENSG00000121892	PDS5A	protein_coding
ENSG00000121895	TMEM156	protein_coding
ENSG00000121897	LIAS	protein_coding
ENSG00000121898	CPXM2	protein_coding
ENSG00000121900	TMEM54	protein_coding
ENSG00000121903	ZSCAN20	protein_coding
ENSG00000121931	LRIF1	protein_coding
ENSG00000121933	TMIGD3	protein_coding
ENSG00000121940	CLCC1	protein_coding
ENSG00000121957	GPSM2	protein_coding
ENSG00000121964	GTDC1	protein_coding
ENSG00000121966	CXCR4	protein_coding
ENSG00000121988	ZRANB3	protein_coding
ENSG00000121989	ACVR2A	protein_coding
ENSG00000122008	POLK	protein_coding
ENSG00000122012	SV2C	protein_coding
ENSG00000122025	FLT3	protein_coding
ENSG00000122026	RPL21	protein_coding
ENSG00000122033	MTIF3	protein_coding
ENSG00000122034	GTF3A	protein_coding
ENSG00000122035	RASL11A	protein_coding
ENSG00000122042	UBL3	protein_coding
ENSG00000122043	LINC00544	lincRNA
ENSG00000122068	FYTTD1	protein_coding
ENSG00000122085	MTERF4	protein_coding
ENSG00000122121	XPNPEP2	protein_coding
ENSG00000122122	SASH3	protein_coding
ENSG00000122126	OCRL	protein_coding
ENSG00000122133	PAEP	protein_coding
ENSG00000122140	MRPS2	protein_coding
ENSG00000122176	FMOD	protein_coding
ENSG00000122188	LAX1	protein_coding
ENSG00000122194	PLG	protein_coding
ENSG00000122203	KIAA1191	protein_coding
ENSG00000122218	COPA	protein_coding
ENSG00000122223	CD244	protein_coding
ENSG00000122224	LY9	protein_coding
ENSG00000122254	HS3ST2	protein_coding
ENSG00000122257	RBBP6	protein_coding
ENSG00000122299	ZC3H7A	protein_coding
ENSG00000122335	SERAC1	protein_coding
ENSG00000122359	ANXA11	protein_coding
ENSG00000122367	LDB3	protein_coding
ENSG00000122376	FAM35A	protein_coding
ENSG00000122378	FAM213A	protein_coding
ENSG00000122386	ZNF205	protein_coding
ENSG00000122390	NAA60	protein_coding
ENSG00000122406	RPL5	protein_coding
ENSG00000122417	ODF2L	protein_coding
ENSG00000122432	SPATA1	protein_coding
ENSG00000122435	TRMT13	protein_coding
ENSG00000122477	LRRC39	protein_coding
ENSG00000122481	RWDD3	protein_coding
ENSG00000122482	ZNF644	protein_coding
ENSG00000122483	CCDC18	protein_coding
ENSG00000122484	RPAP2	protein_coding
ENSG00000122490	PQLC1	protein_coding
ENSG00000122507	BBS9	protein_coding
ENSG00000122512	PMS2	protein_coding
ENSG00000122515	ZMIZ2	protein_coding
ENSG00000122543	OCM	protein_coding
ENSG00000122545	SEPT7	protein_coding
ENSG00000122547	EEPD1	protein_coding
ENSG00000122548	KIAA0087	lincRNA
ENSG00000122550	KLHL7	protein_coding
ENSG00000122557	HERPUD2	protein_coding
ENSG00000122565	CBX3	protein_coding
ENSG00000122566	HNRNPA2B1	protein_coding
ENSG00000122574	WIPF3	protein_coding
ENSG00000122591	FAM126A	protein_coding
ENSG00000122641	INHBA	protein_coding
ENSG00000122642	FKBP9	protein_coding
ENSG00000122643	NT5C3A	protein_coding
ENSG00000122644	ARL4A	protein_coding
ENSG00000122674	CCZ1	protein_coding
ENSG00000122678	POLM	protein_coding
ENSG00000122687	MRM2	protein_coding
ENSG00000122691	TWIST1	protein_coding
ENSG00000122692	SMU1	protein_coding
ENSG00000122694	GLIPR2	protein_coding
ENSG00000122696	SLC25A51	protein_coding
ENSG00000122705	CLTA	protein_coding
ENSG00000122707	RECK	protein_coding
ENSG00000122728	TAF1L	protein_coding
ENSG00000122729	ACO1	protein_coding
ENSG00000122735	DNAI1	protein_coding
ENSG00000122741	DCAF10	protein_coding
ENSG00000122778	KIAA1549	protein_coding
ENSG00000122779	TRIM24	protein_coding
ENSG00000122783	C7orf49	protein_coding
ENSG00000122786	CALD1	protein_coding
ENSG00000122824	NUDT10	protein_coding
ENSG00000122852	SFTPA1	protein_coding
ENSG00000122861	PLAU	protein_coding
ENSG00000122862	SRGN	protein_coding
ENSG00000122863	CHST3	protein_coding
ENSG00000122870	BICC1	protein_coding
ENSG00000122873	CISD1	protein_coding
ENSG00000122877	EGR2	protein_coding
ENSG00000122882	ECD	protein_coding
ENSG00000122884	P4HA1	protein_coding
ENSG00000122912	SLC25A16	protein_coding
ENSG00000122952	ZWINT	protein_coding
ENSG00000122958	VPS26A	protein_coding
ENSG00000122965	RBM19	protein_coding
ENSG00000122966	CIT	protein_coding
ENSG00000122970	IFT81	protein_coding
ENSG00000122971	ACADS	protein_coding
ENSG00000122986	HVCN1	protein_coding
ENSG00000123064	DDX54	protein_coding
ENSG00000123066	MED13L	protein_coding
ENSG00000123080	CDKN2C	protein_coding
ENSG00000123091	RNF11	protein_coding
ENSG00000123094	RASSF8	protein_coding
ENSG00000123095	BHLHE41	protein_coding
ENSG00000123096	SSPN	protein_coding
ENSG00000123104	ITPR2	protein_coding
ENSG00000123106	CCDC91	protein_coding
ENSG00000123124	WWP1	protein_coding
ENSG00000123130	ACOT9	protein_coding
ENSG00000123131	PRDX4	protein_coding
ENSG00000123136	DDX39A	protein_coding
ENSG00000123143	PKN1	protein_coding
ENSG00000123144	TRIR	protein_coding
ENSG00000123146	ADGRE5	protein_coding
ENSG00000123154	WDR83	protein_coding
ENSG00000123159	GIPC1	protein_coding
ENSG00000123178	SPRYD7	protein_coding
ENSG00000123179	EBPL	protein_coding
ENSG00000123191	ATP7B	protein_coding
ENSG00000123200	ZC3H13	protein_coding
ENSG00000123201	GUCY1B2	transcribed_unitary_pseudogene
ENSG00000123213	NLN	protein_coding
ENSG00000123219	CENPK	protein_coding
ENSG00000123240	OPTN	protein_coding
ENSG00000123243	ITIH5	protein_coding
ENSG00000123268	ATF1	protein_coding
ENSG00000123297	TSFM	protein_coding
ENSG00000123329	ARHGAP9	protein_coding
ENSG00000123338	NCKAP1L	protein_coding
ENSG00000123342	MMP19	protein_coding
ENSG00000123349	PFDN5	protein_coding
ENSG00000123352	SPATS2	protein_coding
ENSG00000123353	ORMDL2	protein_coding
ENSG00000123358	NR4A1	protein_coding
ENSG00000123360	PDE1B	protein_coding
ENSG00000123374	CDK2	protein_coding
ENSG00000123384	LRP1	protein_coding
ENSG00000123395	ATG101	protein_coding
ENSG00000123405	NFE2	protein_coding
ENSG00000123411	IKZF4	protein_coding
ENSG00000123415	SMUG1	protein_coding
ENSG00000123416	TUBA1B	protein_coding
ENSG00000123427	EEF1AKMT3	protein_coding
ENSG00000123444	KBTBD4	protein_coding
ENSG00000123453	SARDH	protein_coding
ENSG00000123454	DBH	protein_coding
ENSG00000123472	ATPAF1	protein_coding
ENSG00000123473	STIL	protein_coding
ENSG00000123485	HJURP	protein_coding
ENSG00000123505	AMD1	protein_coding
ENSG00000123545	NDUFAF4	protein_coding
ENSG00000123552	USP45	protein_coding
ENSG00000123562	MORF4L2	protein_coding
ENSG00000123570	RAB9B	protein_coding
ENSG00000123575	FAM199X	protein_coding
ENSG00000123595	RAB9A	protein_coding
ENSG00000123600	METTL8	protein_coding
ENSG00000123607	TTC21B	protein_coding
ENSG00000123609	NMI	protein_coding
ENSG00000123610	TNFAIP6	protein_coding
ENSG00000123612	ACVR1C	protein_coding
ENSG00000123636	BAZ2B	protein_coding
ENSG00000123643	SLC36A1	protein_coding
ENSG00000123684	LPGAT1	protein_coding
ENSG00000123685	BATF3	protein_coding
ENSG00000123689	G0S2	protein_coding
ENSG00000123700	KCNJ2	protein_coding
ENSG00000123728	RAP2C	protein_coding
ENSG00000123737	EXOSC9	protein_coding
ENSG00000123739	PLA2G12A	protein_coding
ENSG00000123810	B9D2	protein_coding
ENSG00000123815	COQ8B	protein_coding
ENSG00000123836	PFKFB2	protein_coding
ENSG00000123838	C4BPA	protein_coding
ENSG00000123843	C4BPB	protein_coding
ENSG00000123870	ZNF137P	transcribed_unprocessed_pseudogene
ENSG00000123892	RAB38	protein_coding
ENSG00000123901	GPR83	protein_coding
ENSG00000123908	AGO2	protein_coding
ENSG00000123933	MXD4	protein_coding
ENSG00000123965	PMS2P5	unprocessed_pseudogene
ENSG00000123975	CKS2	protein_coding
ENSG00000123977	DAW1	protein_coding
ENSG00000123983	ACSL3	protein_coding
ENSG00000123989	CHPF	protein_coding
ENSG00000123992	DNPEP	protein_coding
ENSG00000124006	OBSL1	protein_coding
ENSG00000124019	FAM124B	protein_coding
ENSG00000124067	SLC12A4	protein_coding
ENSG00000124074	ENKD1	protein_coding
ENSG00000124092	CTCFL	protein_coding
ENSG00000124098	FAM210B	protein_coding
ENSG00000124102	PI3	protein_coding
ENSG00000124103	FAM209A	protein_coding
ENSG00000124104	SNX21	protein_coding
ENSG00000124107	SLPI	protein_coding
ENSG00000124116	WFDC3	protein_coding
ENSG00000124120	TTPAL	protein_coding
ENSG00000124126	PREX1	protein_coding
ENSG00000124140	SLC12A5	protein_coding
ENSG00000124145	SDC4	protein_coding
ENSG00000124151	NCOA3	protein_coding
ENSG00000124155	PIGT	protein_coding
ENSG00000124160	NCOA5	protein_coding
ENSG00000124164	VAPB	protein_coding
ENSG00000124171	PARD6B	protein_coding
ENSG00000124172	ATP5F1E	protein_coding
ENSG00000124177	CHD6	protein_coding
ENSG00000124181	PLCG1	protein_coding
ENSG00000124191	TOX2	protein_coding
ENSG00000124193	SRSF6	protein_coding
ENSG00000124196	GTSF1L	protein_coding
ENSG00000124198	ARFGEF2	protein_coding
ENSG00000124201	ZNFX1	protein_coding
ENSG00000124203	ZNF831	protein_coding
ENSG00000124205	EDN3	protein_coding
ENSG00000124207	CSE1L	protein_coding
ENSG00000124209	RAB22A	protein_coding
ENSG00000124212	PTGIS	protein_coding
ENSG00000124214	STAU1	protein_coding
ENSG00000124215	CDH26	protein_coding
ENSG00000124216	SNAI1	protein_coding
ENSG00000124217	MOCS3	protein_coding
ENSG00000124222	STX16	protein_coding
ENSG00000124224	PPP4R1L	transcribed_unprocessed_pseudogene
ENSG00000124225	PMEPA1	protein_coding
ENSG00000124226	RNF114	protein_coding
ENSG00000124228	DDX27	protein_coding
ENSG00000124237	C20orf85	protein_coding
ENSG00000124243	BCAS4	protein_coding
ENSG00000124256	ZBP1	protein_coding
ENSG00000124257	NEURL2	protein_coding
ENSG00000124260	MAGEA10	protein_coding
ENSG00000124275	MTRR	protein_coding
ENSG00000124279	FASTKD3	protein_coding
ENSG00000124299	PEPD	protein_coding
ENSG00000124313	IQSEC2	protein_coding
ENSG00000124333	VAMP7	protein_coding
ENSG00000124334	IL9R	protein_coding
ENSG00000124343	XG	protein_coding
ENSG00000124356	STAMBP	protein_coding
ENSG00000124357	NAGK	protein_coding
ENSG00000124370	MCEE	protein_coding
ENSG00000124374	PAIP2B	protein_coding
ENSG00000124380	SNRNP27	protein_coding
ENSG00000124383	MPHOSPH10	protein_coding
ENSG00000124391	IL17C	protein_coding
ENSG00000124406	ATP8A1	protein_coding
ENSG00000124422	USP22	protein_coding
ENSG00000124429	POF1B	protein_coding
ENSG00000124440	HIF3A	protein_coding
ENSG00000124444	ZNF576	protein_coding
ENSG00000124459	ZNF45	protein_coding
ENSG00000124466	LYPD3	protein_coding
ENSG00000124469	CEACAM8	protein_coding
ENSG00000124486	USP9X	protein_coding
ENSG00000124491	F13A1	protein_coding
ENSG00000124496	TRERF1	protein_coding
ENSG00000124507	PACSIN1	protein_coding
ENSG00000124508	BTN2A2	protein_coding
ENSG00000124523	SIRT5	protein_coding
ENSG00000124532	MRS2	protein_coding
ENSG00000124535	WRNIP1	protein_coding
ENSG00000124541	RRP36	protein_coding
ENSG00000124549	BTN2A3P	transcribed_unprocessed_pseudogene
ENSG00000124557	BTN1A1	protein_coding
ENSG00000124562	SNRPC	protein_coding
ENSG00000124564	SLC17A3	protein_coding
ENSG00000124568	SLC17A1	protein_coding
ENSG00000124570	SERPINB6	protein_coding
ENSG00000124571	XPO5	protein_coding
ENSG00000124574	ABCC10	protein_coding
ENSG00000124575	HIST1H1D	protein_coding
ENSG00000124587	PEX6	protein_coding
ENSG00000124588	NQO2	protein_coding
ENSG00000124593	AL365205.1	protein_coding
ENSG00000124596	OARD1	protein_coding
ENSG00000124602	UNC5CL	protein_coding
ENSG00000124608	AARS2	protein_coding
ENSG00000124610	HIST1H1A	protein_coding
ENSG00000124613	ZNF391	protein_coding
ENSG00000124614	RPS10	protein_coding
ENSG00000124615	MOCS1	protein_coding
ENSG00000124635	HIST1H2BJ	protein_coding
ENSG00000124641	MED20	protein_coding
ENSG00000124659	TBCC	protein_coding
ENSG00000124688	MAD2L1BP	protein_coding
ENSG00000124702	KLHDC3	protein_coding
ENSG00000124713	GNMT	protein_coding
ENSG00000124721	DNAH8	protein_coding
ENSG00000124731	TREM1	protein_coding
ENSG00000124733	MEA1	protein_coding
ENSG00000124762	CDKN1A	protein_coding
ENSG00000124766	SOX4	protein_coding
ENSG00000124767	GLO1	protein_coding
ENSG00000124772	CPNE5	protein_coding
ENSG00000124780	KCNK17	protein_coding
ENSG00000124782	RREB1	protein_coding
ENSG00000124783	SSR1	protein_coding
ENSG00000124784	RIOK1	protein_coding
ENSG00000124785	NRN1	protein_coding
ENSG00000124786	SLC35B3	protein_coding
ENSG00000124787	RPP40	protein_coding
ENSG00000124788	ATXN1	protein_coding
ENSG00000124789	NUP153	protein_coding
ENSG00000124795	DEK	protein_coding
ENSG00000124802	EEF1E1	protein_coding
ENSG00000124813	RUNX2	protein_coding
ENSG00000124831	LRRFIP1	protein_coding
ENSG00000124875	CXCL6	protein_coding
ENSG00000124882	EREG	protein_coding
ENSG00000124920	MYRF	protein_coding
ENSG00000124942	AHNAK	protein_coding
ENSG00000125037	EMC3	protein_coding
ENSG00000125046	SSUH2	protein_coding
ENSG00000125084	WNT1	protein_coding
ENSG00000125089	SH3TC1	protein_coding
ENSG00000125107	CNOT1	protein_coding
ENSG00000125122	LRRC29	protein_coding
ENSG00000125124	BBS2	protein_coding
ENSG00000125144	MT1G	protein_coding
ENSG00000125148	MT2A	protein_coding
ENSG00000125149	C16orf70	protein_coding
ENSG00000125166	GOT2	protein_coding
ENSG00000125170	DOK4	protein_coding
ENSG00000125245	GPR18	protein_coding
ENSG00000125246	CLYBL	protein_coding
ENSG00000125247	TMTC4	protein_coding
ENSG00000125249	RAP2A	protein_coding
